"RACE_HIS","SEX","YEAR","BIRTHS"
0,0,2017,4053964
0,0,2018,4075205
0,0,2019,4094965
0,0,2020,4112212
0,0,2021,4126260
0,0,2022,4137447
0,0,2023,4145830
0,0,2024,4151841
0,0,2025,4156183
0,0,2026,4159544
0,0,2027,4161942
0,0,2028,4162983
0,0,2029,4162908
0,0,2030,4162235
0,0,2031,4161398
0,0,2032,4160875
0,0,2033,4161099
0,0,2034,4162441
0,0,2035,4164981
0,0,2036,4168718
0,0,2037,4173567
0,0,2038,4179195
0,0,2039,4185495
0,0,2040,4192250
0,0,2041,4199413
0,0,2042,4207253
0,0,2043,4215759
0,0,2044,4224974
0,0,2045,4234955
0,0,2046,4245686
0,0,2047,4257004
0,0,2048,4268712
0,0,2049,4280671
0,0,2050,4292627
0,0,2051,4304341
0,0,2052,4315608
0,0,2053,4326315
0,0,2054,4336401
0,0,2055,4345792
0,0,2056,4354508
0,0,2057,4362600
0,0,2058,4370136
0,0,2059,4377231
0,0,2060,4384008
0,1,2017,2072848
0,1,2018,2083693
0,1,2019,2093769
0,1,2020,2102568
0,1,2021,2109721
0,1,2022,2115412
0,1,2023,2119666
0,1,2024,2122704
0,1,2025,2124884
0,1,2026,2126569
0,1,2027,2127753
0,1,2028,2128250
0,1,2029,2128170
0,1,2030,2127789
0,1,2031,2127332
0,1,2032,2127023
0,1,2033,2127106
0,1,2034,2127761
0,1,2035,2129026
0,1,2036,2130910
0,1,2037,2133365
0,1,2038,2136212
0,1,2039,2139409
0,1,2040,2142844
0,1,2041,2146489
0,1,2042,2150479
0,1,2043,2154811
0,1,2044,2159506
0,1,2045,2164599
0,1,2046,2170079
0,1,2047,2175855
0,1,2048,2181831
0,1,2049,2187934
0,1,2050,2194030
0,1,2051,2200009
0,1,2052,2205751
0,1,2053,2211207
0,1,2054,2216341
0,1,2055,2221125
0,1,2056,2225554
0,1,2057,2229668
0,1,2058,2233485
0,1,2059,2237086
0,1,2060,2240530
0,2,2017,1981116
0,2,2018,1991512
0,2,2019,2001196
0,2,2020,2009644
0,2,2021,2016539
0,2,2022,2022035
0,2,2023,2026164
0,2,2024,2029137
0,2,2025,2031299
0,2,2026,2032975
0,2,2027,2034189
0,2,2028,2034733
0,2,2029,2034738
0,2,2030,2034446
0,2,2031,2034066
0,2,2032,2033852
0,2,2033,2033993
0,2,2034,2034680
0,2,2035,2035955
0,2,2036,2037808
0,2,2037,2040202
0,2,2038,2042983
0,2,2039,2046086
0,2,2040,2049406
0,2,2041,2052924
0,2,2042,2056774
0,2,2043,2060948
0,2,2044,2065468
0,2,2045,2070356
0,2,2046,2075607
0,2,2047,2081149
0,2,2048,2086881
0,2,2049,2092737
0,2,2050,2098597
0,2,2051,2104332
0,2,2052,2109857
0,2,2053,2115108
0,2,2054,2120060
0,2,2055,2124667
0,2,2056,2128954
0,2,2057,2132932
0,2,2058,2136651
0,2,2059,2140145
0,2,2060,2143478
1,0,2017,2850742
1,0,2018,2858441
1,0,2019,2865012
1,0,2020,2869757
1,0,2021,2872346
1,0,2022,2873085
1,0,2023,2871874
1,0,2024,2868908
1,0,2025,2864607
1,0,2026,2859456
1,0,2027,2853572
1,0,2028,2846810
1,0,2029,2839464
1,0,2030,2831890
1,0,2031,2824223
1,0,2032,2816621
1,0,2033,2809259
1,0,2034,2802310
1,0,2035,2795728
1,0,2036,2789370
1,0,2037,2783179
1,0,2038,2777125
1,0,2039,2771241
1,0,2040,2765463
1,0,2041,2759855
1,0,2042,2754676
1,0,2043,2749917
1,0,2044,2745574
1,0,2045,2741720
1,0,2046,2738344
1,0,2047,2735371
1,0,2048,2732671
1,0,2049,2730150
1,0,2050,2727716
1,0,2051,2725208
1,0,2052,2722488
1,0,2053,2719487
1,0,2054,2716141
1,0,2055,2712386
1,0,2056,2708191
1,0,2057,2703543
1,0,2058,2698494
1,0,2059,2693076
1,0,2060,2687323
1,1,2017,1458789
1,1,2018,1462697
1,1,2019,1466024
1,1,2020,1468413
1,1,2021,1469696
1,1,2022,1470028
1,1,2023,1469360
1,1,2024,1467791
1,1,2025,1465536
1,1,2026,1462846
1,1,2027,1459780
1,1,2028,1456264
1,1,2029,1452451
1,1,2030,1448521
1,1,2031,1444546
1,1,2032,1440606
1,1,2033,1436790
1,1,2034,1433188
1,1,2035,1429777
1,1,2036,1426485
1,1,2037,1423280
1,1,2038,1420149
1,1,2039,1417108
1,1,2040,1414124
1,1,2041,1411228
1,1,2042,1408555
1,1,2043,1406098
1,1,2044,1403855
1,1,2045,1401865
1,1,2046,1400118
1,1,2047,1398578
1,1,2048,1397177
1,1,2049,1395865
1,1,2050,1394596
1,1,2051,1393288
1,1,2052,1391867
1,1,2053,1390302
1,1,2054,1388558
1,1,2055,1386603
1,1,2056,1384422
1,1,2057,1382007
1,1,2058,1379386
1,1,2059,1376577
1,1,2060,1373597
1,2,2017,1391953
1,2,2018,1395744
1,2,2019,1398988
1,2,2020,1401344
1,2,2021,1402650
1,2,2022,1403057
1,2,2023,1402514
1,2,2024,1401117
1,2,2025,1399071
1,2,2026,1396610
1,2,2027,1393792
1,2,2028,1390546
1,2,2029,1387013
1,2,2030,1383369
1,2,2031,1379677
1,2,2032,1376015
1,2,2033,1372469
1,2,2034,1369122
1,2,2035,1365951
1,2,2036,1362885
1,2,2037,1359899
1,2,2038,1356976
1,2,2039,1354133
1,2,2040,1351339
1,2,2041,1348627
1,2,2042,1346121
1,2,2043,1343819
1,2,2044,1341719
1,2,2045,1339855
1,2,2046,1338226
1,2,2047,1336793
1,2,2048,1335494
1,2,2049,1334285
1,2,2050,1333120
1,2,2051,1331920
1,2,2052,1330621
1,2,2053,1329185
1,2,2054,1327583
1,2,2055,1325783
1,2,2056,1323769
1,2,2057,1321536
1,2,2058,1319108
1,2,2059,1316499
1,2,2060,1313726
2,0,2017,644820
2,0,2018,648234
2,0,2019,651261
2,0,2020,653703
2,0,2021,655329
2,0,2022,656161
2,0,2023,656347
2,0,2024,656099
2,0,2025,655624
2,0,2026,655056
2,0,2027,654329
2,0,2028,653291
2,0,2029,651912
2,0,2030,650304
2,0,2031,648667
2,0,2032,647208
2,0,2033,646138
2,0,2034,645606
2,0,2035,645677
2,0,2036,646469
2,0,2037,647976
2,0,2038,649993
2,0,2039,652387
2,0,2040,655055
2,0,2041,657885
2,0,2042,660856
2,0,2043,663942
2,0,2044,667117
2,0,2045,670370
2,0,2046,673673
2,0,2047,676956
2,0,2048,680183
2,0,2049,683320
2,0,2050,686300
2,0,2051,689115
2,0,2052,691754
2,0,2053,694208
2,0,2054,696498
2,0,2055,698635
2,0,2056,700658
2,0,2057,702593
2,0,2058,704473
2,0,2059,706340
2,0,2060,708234
2,1,2017,327576
2,1,2018,329311
2,1,2019,330848
2,1,2020,332089
2,1,2021,332916
2,1,2022,333339
2,1,2023,333433
2,1,2024,333307
2,1,2025,333067
2,1,2026,332779
2,1,2027,332410
2,1,2028,331884
2,1,2029,331184
2,1,2030,330368
2,1,2031,329538
2,1,2032,328797
2,1,2033,328255
2,1,2034,327985
2,1,2035,328022
2,1,2036,328425
2,1,2037,329191
2,1,2038,330216
2,1,2039,331434
2,1,2040,332789
2,1,2041,334227
2,1,2042,335738
2,1,2043,337305
2,1,2044,338918
2,1,2045,340572
2,1,2046,342250
2,1,2047,343918
2,1,2048,345558
2,1,2049,347152
2,1,2050,348666
2,1,2051,350096
2,1,2052,351437
2,1,2053,352683
2,1,2054,353848
2,1,2055,354934
2,1,2056,355961
2,1,2057,356945
2,1,2058,357900
2,1,2059,358850
2,1,2060,359813
2,2,2017,317244
2,2,2018,318923
2,2,2019,320413
2,2,2020,321614
2,2,2021,322413
2,2,2022,322822
2,2,2023,322914
2,2,2024,322792
2,2,2025,322557
2,2,2026,322277
2,2,2027,321919
2,2,2028,321407
2,2,2029,320728
2,2,2030,319936
2,2,2031,319129
2,2,2032,318411
2,2,2033,317883
2,2,2034,317621
2,2,2035,317655
2,2,2036,318044
2,2,2037,318785
2,2,2038,319777
2,2,2039,320953
2,2,2040,322266
2,2,2041,323658
2,2,2042,325118
2,2,2043,326637
2,2,2044,328199
2,2,2045,329798
2,2,2046,331423
2,2,2047,333038
2,2,2048,334625
2,2,2049,336168
2,2,2050,337634
2,2,2051,339019
2,2,2052,340317
2,2,2053,341525
2,2,2054,342650
2,2,2055,343701
2,2,2056,344697
2,2,2057,345648
2,2,2058,346573
2,2,2059,347490
2,2,2060,348421
3,0,2017,62836
3,0,2018,63124
3,0,2019,63397
3,0,2020,63641
3,0,2021,63843
3,0,2022,64018
3,0,2023,64178
3,0,2024,64322
3,0,2025,64451
3,0,2026,64560
3,0,2027,64636
3,0,2028,64666
3,0,2029,64651
3,0,2030,64610
3,0,2031,64562
3,0,2032,64518
3,0,2033,64477
3,0,2034,64441
3,0,2035,64403
3,0,2036,64347
3,0,2037,64276
3,0,2038,64201
3,0,2039,64125
3,0,2040,64050
3,0,2041,63976
3,0,2042,63903
3,0,2043,63827
3,0,2044,63749
3,0,2045,63669
3,0,2046,63591
3,0,2047,63515
3,0,2048,63439
3,0,2049,63367
3,0,2050,63297
3,0,2051,63231
3,0,2052,63167
3,0,2053,63107
3,0,2054,63051
3,0,2055,62996
3,0,2056,62943
3,0,2057,62887
3,0,2058,62828
3,0,2059,62767
3,0,2060,62703
3,1,2017,31977
3,1,2018,32124
3,1,2019,32262
3,1,2020,32387
3,1,2021,32489
3,1,2022,32578
3,1,2023,32660
3,1,2024,32733
3,1,2025,32798
3,1,2026,32854
3,1,2027,32893
3,1,2028,32908
3,1,2029,32900
3,1,2030,32879
3,1,2031,32855
3,1,2032,32833
3,1,2033,32812
3,1,2034,32794
3,1,2035,32774
3,1,2036,32746
3,1,2037,32709
3,1,2038,32671
3,1,2039,32633
3,1,2040,32595
3,1,2041,32557
3,1,2042,32520
3,1,2043,32482
3,1,2044,32442
3,1,2045,32401
3,1,2046,32362
3,1,2047,32323
3,1,2048,32284
3,1,2049,32248
3,1,2050,32212
3,1,2051,32178
3,1,2052,32146
3,1,2053,32115
3,1,2054,32087
3,1,2055,32059
3,1,2056,32032
3,1,2057,32003
3,1,2058,31973
3,1,2059,31942
3,1,2060,31910
3,2,2017,30859
3,2,2018,31000
3,2,2019,31135
3,2,2020,31254
3,2,2021,31354
3,2,2022,31440
3,2,2023,31518
3,2,2024,31589
3,2,2025,31653
3,2,2026,31706
3,2,2027,31743
3,2,2028,31758
3,2,2029,31751
3,2,2030,31731
3,2,2031,31707
3,2,2032,31685
3,2,2033,31665
3,2,2034,31647
3,2,2035,31629
3,2,2036,31601
3,2,2037,31567
3,2,2038,31530
3,2,2039,31492
3,2,2040,31455
3,2,2041,31419
3,2,2042,31383
3,2,2043,31345
3,2,2044,31307
3,2,2045,31268
3,2,2046,31229
3,2,2047,31192
3,2,2048,31155
3,2,2049,31119
3,2,2050,31085
3,2,2051,31053
3,2,2052,31021
3,2,2053,30992
3,2,2054,30964
3,2,2055,30937
3,2,2056,30911
3,2,2057,30884
3,2,2058,30855
3,2,2059,30825
3,2,2060,30793
4,0,2017,213426
4,0,2018,217266
4,0,2019,221040
4,0,2020,224707
4,0,2021,228220
4,0,2022,231559
4,0,2023,234715
4,0,2024,237718
4,0,2025,240620
4,0,2026,243453
4,0,2027,246222
4,0,2028,248926
4,0,2029,251574
4,0,2030,254179
4,0,2031,256796
4,0,2032,259469
4,0,2033,262188
4,0,2034,264956
4,0,2035,267783
4,0,2036,270658
4,0,2037,273580
4,0,2038,276532
4,0,2039,279518
4,0,2040,282529
4,0,2041,285565
4,0,2042,288632
4,0,2043,291731
4,0,2044,294889
4,0,2045,298096
4,0,2046,301359
4,0,2047,304697
4,0,2048,308100
4,0,2049,311573
4,0,2050,315083
4,0,2051,318592
4,0,2052,322064
4,0,2053,325490
4,0,2054,328875
4,0,2055,332205
4,0,2056,335467
4,0,2057,338672
4,0,2058,341819
4,0,2059,344924
4,0,2060,347998
4,1,2017,110046
4,1,2018,112027
4,1,2019,113974
4,1,2020,115865
4,1,2021,117677
4,1,2022,119399
4,1,2023,121027
4,1,2024,122576
4,1,2025,124073
4,1,2026,125534
4,1,2027,126962
4,1,2028,128356
4,1,2029,129721
4,1,2030,131064
4,1,2031,132414
4,1,2032,133791
4,1,2033,135194
4,1,2034,136620
4,1,2035,138077
4,1,2036,139560
4,1,2037,141066
4,1,2038,142588
4,1,2039,144127
4,1,2040,145679
4,1,2041,147244
4,1,2042,148825
4,1,2043,150424
4,1,2044,152052
4,1,2045,153706
4,1,2046,155389
4,1,2047,157111
4,1,2048,158866
4,1,2049,160658
4,1,2050,162468
4,1,2051,164278
4,1,2052,166069
4,1,2053,167837
4,1,2054,169583
4,1,2055,171301
4,1,2056,172983
4,1,2057,174636
4,1,2058,176258
4,1,2059,177859
4,1,2060,179444
4,2,2017,103380
4,2,2018,105239
4,2,2019,107066
4,2,2020,108842
4,2,2021,110543
4,2,2022,112160
4,2,2023,113688
4,2,2024,115142
4,2,2025,116547
4,2,2026,117919
4,2,2027,119260
4,2,2028,120570
4,2,2029,121853
4,2,2030,123115
4,2,2031,124382
4,2,2032,125678
4,2,2033,126994
4,2,2034,128336
4,2,2035,129706
4,2,2036,131098
4,2,2037,132514
4,2,2038,133944
4,2,2039,135391
4,2,2040,136850
4,2,2041,138321
4,2,2042,139807
4,2,2043,141307
4,2,2044,142837
4,2,2045,144390
4,2,2046,145970
4,2,2047,147586
4,2,2048,149234
4,2,2049,150915
4,2,2050,152615
4,2,2051,154314
4,2,2052,155995
4,2,2053,157653
4,2,2054,159292
4,2,2055,160904
4,2,2056,162484
4,2,2057,164036
4,2,2058,165561
4,2,2059,167065
4,2,2060,168554
5,0,2017,10404
5,0,2018,10497
5,0,2019,10571
5,0,2020,10624
5,0,2021,10657
5,0,2022,10671
5,0,2023,10666
5,0,2024,10645
5,0,2025,10616
5,0,2026,10583
5,0,2027,10549
5,0,2028,10519
5,0,2029,10497
5,0,2030,10487
5,0,2031,10491
5,0,2032,10513
5,0,2033,10549
5,0,2034,10601
5,0,2035,10661
5,0,2036,10727
5,0,2037,10793
5,0,2038,10858
5,0,2039,10919
5,0,2040,10975
5,0,2041,11025
5,0,2042,11066
5,0,2043,11099
5,0,2044,11123
5,0,2045,11137
5,0,2046,11137
5,0,2047,11128
5,0,2048,11106
5,0,2049,11080
5,0,2050,11051
5,0,2051,11022
5,0,2052,10995
5,0,2053,10973
5,0,2054,10956
5,0,2055,10945
5,0,2056,10941
5,0,2057,10945
5,0,2058,10955
5,0,2059,10972
5,0,2060,10995
5,1,2017,5347
5,1,2018,5394
5,1,2019,5433
5,1,2020,5461
5,1,2021,5478
5,1,2022,5485
5,1,2023,5483
5,1,2024,5472
5,1,2025,5457
5,1,2026,5440
5,1,2027,5423
5,1,2028,5408
5,1,2029,5396
5,1,2030,5391
5,1,2031,5393
5,1,2032,5404
5,1,2033,5422
5,1,2034,5450
5,1,2035,5480
5,1,2036,5514
5,1,2037,5547
5,1,2038,5581
5,1,2039,5612
5,1,2040,5641
5,1,2041,5667
5,1,2042,5687
5,1,2043,5705
5,1,2044,5717
5,1,2045,5724
5,1,2046,5724
5,1,2047,5720
5,1,2048,5709
5,1,2049,5696
5,1,2050,5681
5,1,2051,5666
5,1,2052,5653
5,1,2053,5642
5,1,2054,5633
5,1,2055,5628
5,1,2056,5625
5,1,2057,5628
5,1,2058,5634
5,1,2059,5642
5,1,2060,5654
5,2,2017,5057
5,2,2018,5103
5,2,2019,5138
5,2,2020,5163
5,2,2021,5179
5,2,2022,5186
5,2,2023,5183
5,2,2024,5173
5,2,2025,5159
5,2,2026,5143
5,2,2027,5126
5,2,2028,5111
5,2,2029,5101
5,2,2030,5096
5,2,2031,5098
5,2,2032,5109
5,2,2033,5127
5,2,2034,5151
5,2,2035,5181
5,2,2036,5213
5,2,2037,5246
5,2,2038,5277
5,2,2039,5307
5,2,2040,5334
5,2,2041,5358
5,2,2042,5379
5,2,2043,5394
5,2,2044,5406
5,2,2045,5413
5,2,2046,5413
5,2,2047,5408
5,2,2048,5397
5,2,2049,5384
5,2,2050,5370
5,2,2051,5356
5,2,2052,5342
5,2,2053,5331
5,2,2054,5323
5,2,2055,5317
5,2,2056,5316
5,2,2057,5317
5,2,2058,5321
5,2,2059,5330
5,2,2060,5341
6,0,2017,271736
6,0,2018,277643
6,0,2019,283684
6,0,2020,289780
6,0,2021,295865
6,0,2022,301953
6,0,2023,308050
6,0,2024,314149
6,0,2025,320265
6,0,2026,326436
6,0,2027,332634
6,0,2028,338771
6,0,2029,344810
6,0,2030,350765
6,0,2031,356659
6,0,2032,362546
6,0,2033,368488
6,0,2034,374527
6,0,2035,380729
6,0,2036,387147
6,0,2037,393763
6,0,2038,400486
6,0,2039,407305
6,0,2040,414178
6,0,2041,421107
6,0,2042,428120
6,0,2043,435243
6,0,2044,442522
6,0,2045,449963
6,0,2046,457582
6,0,2047,465337
6,0,2048,473213
6,0,2049,481181
6,0,2050,489180
6,0,2051,497173
6,0,2052,505140
6,0,2053,513050
6,0,2054,520880
6,0,2055,528625
6,0,2056,536308
6,0,2057,543960
6,0,2058,551567
6,0,2059,559152
6,0,2060,566755
6,1,2017,139113
6,1,2018,142140
6,1,2019,145228
6,1,2020,148353
6,1,2021,151465
6,1,2022,154583
6,1,2023,157703
6,1,2024,160825
6,1,2025,163953
6,1,2026,167116
6,1,2027,170285
6,1,2028,173430
6,1,2029,176518
6,1,2030,179566
6,1,2031,182586
6,1,2032,185592
6,1,2033,188633
6,1,2034,191724
6,1,2035,194896
6,1,2036,198180
6,1,2037,201572
6,1,2038,205007
6,1,2039,208495
6,1,2040,212016
6,1,2041,215566
6,1,2042,219154
6,1,2043,222797
6,1,2044,226522
6,1,2045,230331
6,1,2046,234236
6,1,2047,238205
6,1,2048,242237
6,1,2049,246315
6,1,2050,250407
6,1,2051,254503
6,1,2052,258579
6,1,2053,262628
6,1,2054,266632
6,1,2055,270600
6,1,2056,274531
6,1,2057,278449
6,1,2058,282334
6,1,2059,286216
6,1,2060,290112
6,2,2017,132623
6,2,2018,135503
6,2,2019,138456
6,2,2020,141427
6,2,2021,144400
6,2,2022,147370
6,2,2023,150347
6,2,2024,153324
6,2,2025,156312
6,2,2026,159320
6,2,2027,162349
6,2,2028,165341
6,2,2029,168292
6,2,2030,171199
6,2,2031,174073
6,2,2032,176954
6,2,2033,179855
6,2,2034,182803
6,2,2035,185833
6,2,2036,188967
6,2,2037,192191
6,2,2038,195479
6,2,2039,198810
6,2,2040,202162
6,2,2041,205541
6,2,2042,208966
6,2,2043,212446
6,2,2044,216000
6,2,2045,219632
6,2,2046,223346
6,2,2047,227132
6,2,2048,230976
6,2,2049,234866
6,2,2050,238773
6,2,2051,242670
6,2,2052,246561
6,2,2053,250422
6,2,2054,254248
6,2,2055,258025
6,2,2056,261777
6,2,2057,265511
6,2,2058,269233
6,2,2059,272936
6,2,2060,276643
7,0,2017,3068181
7,0,2018,3077443
7,0,2019,3084574
7,0,2020,3088714
7,0,2021,3089332
7,0,2022,3086742
7,0,2023,3081072
7,0,2024,3072784
7,0,2025,3062608
7,0,2026,3051205
7,0,2027,3038790
7,0,2028,3025250
7,0,2029,3010864
7,0,2030,2996148
7,0,2031,2981620
7,0,2032,2967815
7,0,2033,2955148
7,0,2034,2944008
7,0,2035,2934673
7,0,2036,2927328
7,0,2037,2921892
7,0,2038,2917979
7,0,2039,2915455
7,0,2040,2914099
7,0,2041,2913771
7,0,2042,2914556
7,0,2043,2916440
7,0,2044,2919352
7,0,2045,2923157
7,0,2046,2927681
7,0,2047,2932589
7,0,2048,2937594
7,0,2049,2942416
7,0,2050,2946667
7,0,2051,2950125
7,0,2052,2952597
7,0,2053,2953968
7,0,2054,2954231
7,0,2055,2953390
7,0,2056,2951571
7,0,2057,2948931
7,0,2058,2945602
7,0,2059,2941802
7,0,2060,2937758
7,1,2017,1571146
7,1,2018,1575893
7,1,2019,1579545
7,1,2020,1581673
7,1,2021,1581992
7,1,2022,1580669
7,1,2023,1577775
7,1,2024,1573533
7,1,2025,1568327
7,1,2026,1562496
7,1,2027,1556141
7,1,2028,1549218
7,1,2029,1541856
7,1,2030,1534325
7,1,2031,1526896
7,1,2032,1519833
7,1,2033,1513356
7,1,2034,1507659
7,1,2035,1502881
7,1,2036,1499123
7,1,2037,1496345
7,1,2038,1494335
7,1,2039,1493042
7,1,2040,1492348
7,1,2041,1492181
7,1,2042,1492577
7,1,2043,1493543
7,1,2044,1495030
7,1,2045,1496979
7,1,2046,1499299
7,1,2047,1501813
7,1,2048,1504376
7,1,2049,1506848
7,1,2050,1509024
7,1,2051,1510798
7,1,2052,1512066
7,1,2053,1512771
7,1,2054,1512906
7,1,2055,1512478
7,1,2056,1511549
7,1,2057,1510198
7,1,2058,1508491
7,1,2059,1506545
7,1,2060,1504479
7,2,2017,1497035
7,2,2018,1501550
7,2,2019,1505029
7,2,2020,1507041
7,2,2021,1507340
7,2,2022,1506073
7,2,2023,1503297
7,2,2024,1499251
7,2,2025,1494281
7,2,2026,1488709
7,2,2027,1482649
7,2,2028,1476032
7,2,2029,1469008
7,2,2030,1461823
7,2,2031,1454724
7,2,2032,1447982
7,2,2033,1441792
7,2,2034,1436349
7,2,2035,1431792
7,2,2036,1428205
7,2,2037,1425547
7,2,2038,1423644
7,2,2039,1422413
7,2,2040,1421751
7,2,2041,1421590
7,2,2042,1421979
7,2,2043,1422897
7,2,2044,1424322
7,2,2045,1426178
7,2,2046,1428382
7,2,2047,1430776
7,2,2048,1433218
7,2,2049,1435568
7,2,2050,1437643
7,2,2051,1439327
7,2,2052,1440531
7,2,2053,1441197
7,2,2054,1441325
7,2,2055,1440912
7,2,2056,1440022
7,2,2057,1438733
7,2,2058,1437111
7,2,2059,1435257
7,2,2060,1433279
8,0,2017,985783
8,0,2018,997762
8,0,2019,1010391
8,0,2020,1023498
8,0,2021,1036928
8,0,2022,1050705
8,0,2023,1064758
8,0,2024,1079057
8,0,2025,1093575
8,0,2026,1108339
8,0,2027,1123152
8,0,2028,1137733
8,0,2029,1152044
8,0,2030,1166087
8,0,2031,1179778
8,0,2032,1193060
8,0,2033,1205951
8,0,2034,1218433
8,0,2035,1230308
8,0,2036,1241390
8,0,2037,1251675
8,0,2038,1261216
8,0,2039,1270040
8,0,2040,1278151
8,0,2041,1285642
8,0,2042,1292697
8,0,2043,1299319
8,0,2044,1305622
8,0,2045,1311798
8,0,2046,1318005
8,0,2047,1324415
8,0,2048,1331118
8,0,2049,1338255
8,0,2050,1345960
8,0,2051,1354216
8,0,2052,1363011
8,0,2053,1372347
8,0,2054,1382170
8,0,2055,1392402
8,0,2056,1402937
8,0,2057,1413669
8,0,2058,1424534
8,0,2059,1435429
8,0,2060,1446250
8,1,2017,501702
8,1,2018,507800
8,1,2019,514224
8,1,2020,520895
8,1,2021,527729
8,1,2022,534743
8,1,2023,541891
8,1,2024,549171
8,1,2025,556557
8,1,2026,564073
8,1,2027,571612
8,1,2028,579032
8,1,2029,586314
8,1,2030,593464
8,1,2031,600436
8,1,2032,607190
8,1,2033,613750
8,1,2034,620102
8,1,2035,626145
8,1,2036,631787
8,1,2037,637020
8,1,2038,641877
8,1,2039,646367
8,1,2040,650496
8,1,2041,654308
8,1,2042,657902
8,1,2043,661268
8,1,2044,664476
8,1,2045,667620
8,1,2046,670780
8,1,2047,674042
8,1,2048,677455
8,1,2049,681086
8,1,2050,685006
8,1,2051,689211
8,1,2052,693685
8,1,2053,698436
8,1,2054,703435
8,1,2055,708647
8,1,2056,714005
8,1,2057,719470
8,1,2058,724994
8,1,2059,730541
8,1,2060,736051
8,2,2017,484081
8,2,2018,489962
8,2,2019,496167
8,2,2020,502603
8,2,2021,509199
8,2,2022,515962
8,2,2023,522867
8,2,2024,529886
8,2,2025,537018
8,2,2026,544266
8,2,2027,551540
8,2,2028,558701
8,2,2029,565730
8,2,2030,572623
8,2,2031,579342
8,2,2032,585870
8,2,2033,592201
8,2,2034,598331
8,2,2035,604163
8,2,2036,609603
8,2,2037,614655
8,2,2038,619339
8,2,2039,623673
8,2,2040,627655
8,2,2041,631334
8,2,2042,634795
8,2,2043,638051
8,2,2044,641146
8,2,2045,644178
8,2,2046,647225
8,2,2047,650373
8,2,2048,653663
8,2,2049,657169
8,2,2050,660954
8,2,2051,665005
8,2,2052,669326
8,2,2053,673911
8,2,2054,678735
8,2,2055,683755
8,2,2056,688932
8,2,2057,694199
8,2,2058,699540
8,2,2059,704888
8,2,2060,710199
9,0,2017,2018956
9,0,2018,2016435
9,0,2019,2012184
9,0,2020,2005669
9,0,2021,1996700
9,0,2022,1985592
9,0,2023,1972343
9,0,2024,1957208
9,0,2025,1940645
9,0,2026,1923125
9,0,2027,1904932
9,0,2028,1886154
9,0,2029,1867087
9,0,2030,1848088
9,0,2031,1829408
9,0,2032,1811265
9,0,2033,1793830
9,0,2034,1777288
9,0,2035,1761752
9,0,2036,1747238
9,0,2037,1733665
9,0,2038,1720935
9,0,2039,1709047
9,0,2040,1697908
9,0,2041,1687489
9,0,2042,1677877
9,0,2043,1669046
9,0,2044,1660900
9,0,2045,1653336
9,0,2046,1646194
9,0,2047,1639237
9,0,2048,1632256
9,0,2049,1625040
9,0,2050,1617378
9,0,2051,1609133
9,0,2052,1600189
9,0,2053,1590492
9,0,2054,1580031
9,0,2055,1568825
9,0,2056,1556962
9,0,2057,1544526
9,0,2058,1531627
9,0,2059,1518401
9,0,2060,1504976
9,1,2017,1035463
9,1,2018,1034170
9,1,2019,1031989
9,1,2020,1028648
9,1,2021,1024048
9,1,2022,1018351
9,1,2023,1011556
9,1,2024,1003794
9,1,2025,995299
9,1,2026,986314
9,1,2027,976983
9,1,2028,967352
9,1,2029,957574
9,1,2030,947829
9,1,2031,938249
9,1,2032,928944
9,1,2033,920002
9,1,2034,911518
9,1,2035,903550
9,1,2036,896107
9,1,2037,889145
9,1,2038,882616
9,1,2039,876519
9,1,2040,870807
9,1,2041,865463
9,1,2042,860533
9,1,2043,856004
9,1,2044,851826
9,1,2045,847947
9,1,2046,844284
9,1,2047,840716
9,1,2048,837136
9,1,2049,833435
9,1,2050,829505
9,1,2051,825277
9,1,2052,820689
9,1,2053,815716
9,1,2054,810351
9,1,2055,804604
9,1,2056,798520
9,1,2057,792142
9,1,2058,785526
9,1,2059,778743
9,1,2060,771858
9,2,2017,983493
9,2,2018,982265
9,2,2019,980195
9,2,2020,977021
9,2,2021,972652
9,2,2022,967241
9,2,2023,960787
9,2,2024,953414
9,2,2025,945346
9,2,2026,936811
9,2,2027,927949
9,2,2028,918802
9,2,2029,909513
9,2,2030,900259
9,2,2031,891159
9,2,2032,882321
9,2,2033,873828
9,2,2034,865770
9,2,2035,858202
9,2,2036,851131
9,2,2037,844520
9,2,2038,838319
9,2,2039,832528
9,2,2040,827101
9,2,2041,822026
9,2,2042,817344
9,2,2043,813042
9,2,2044,809074
9,2,2045,805389
9,2,2046,801910
9,2,2047,798521
9,2,2048,795120
9,2,2049,791605
9,2,2050,787873
9,2,2051,783856
9,2,2052,779500
9,2,2053,774776
9,2,2054,769680
9,2,2055,764221
9,2,2056,758442
9,2,2057,752384
9,2,2058,746101
9,2,2059,739658
9,2,2060,733118

